scratch	are
debate	tago
trace	ace
piled	tuba
connect	ate
attendant	upas
pound	tutu
tide	tide
ripe	om
flower	saya
allowed	aku
gust	rato
not yet	hang
speedboat	spit
dried	tore
he	o-
crawl	tare
first	si
father	baba
sail	side
pull	tau
sharp	mango
this	nee
tree	same
stick	topo
indigo	tom
murky	som
carry	tale
arrive	ado
coil	ale
chocolate	coklat
want	mau
room	kamar
time	waktu
fall	babu
long	gila
which	yang
pour out	use
tea	tee
perch	tera
blow	sai
not	ua
near	seba
palm	saha
knock	toki
hack off	abo
father	aba
penis	ako
he	una
telephone	telefon
which	ma
seawater	teo
pull out	tuo
that	gee
letter	surat
they	ana
or	bolo
dragnet	soma
medicine	sou
patch	tapa
bag	tas
swing	wale
even	mai
money	pipi
draw	sia
toss	aka
fault	sala
sneeze	sore
slack	ulu
nipa palm	bobo
lie	tango
pull	topa
monkey	mia
truck	trek
color	budo
cane	tiki
she	mina
shoot	tabu
bucket	ember
not anymore	rua
piled	tofu
not	malo
test	tes
egg	boro
do	afa
dead	sone
go against	tomo
slanting	tuku
harvest	utu
turtle	ori
slice	selo
hit	tero
gall bladder	miri
sandbank	pasi
skin	timi
maize	tela
banana	koi
vagina	tiro
soak	tono
cry	ari
intestine	usus
wind	kore
floor	saru
because	sababu
only	cuma
scatter	yare
eye	pete
wash	soso
catch	tabo
person	mancia
store	toko
edge	uru
doctor	dokter
filthy	yapa
water	ake
isn't it	wa
fish	tato
arrange	toto
kitchen	hito
pour	hodo
anchor	tapu
cupboard	kas
sit	tego
tuna	touko
vegetable hummingbird	turi
they	ena
torch	sido
bicycle	fis
stab	sagu
cast	ume
it	i-
house	fala
extend	toa
take	biri
I	to-
only	duga
origin	asal
resin	salo
color	warna
hot	upa
year	tahun
cover	tanu
sunhat	tolu
calabash	walu
canoe	oti
basin	bokor
dangerous	bahaya
age	umur
tofu	tahu
jump	tebu
dough	sena
only	bato
prince	putra
top	tubu
walk	tagi
plate	piri
pour out	tahi
asr	asar
steal	tori
paper	kartas
widen	sose
hungry	soha
sarong	sopa
door	sita
wedding	saro
banana	yobo
to	toma
basket	tibi
speak	tita
sweep	aca
grandfather	tete
surprised	tapar
rain	besa
big	lamo
chew	taja
crow	temo
blow	sume
good	saki
moss	dumdum
you	ngana
unlucky	soe
torn	aci
four	iha
uncle	jojo
too	laku
water	bao
stop	tola
forest	banga
rattan	uri
vegetable	uge
jump	siru
put	teru
happen	dadi
you	no-
alcohol	sopi
incense	dupa
stink	tingi
seek	tike
present	tana
necessary	musi
flying fish	toni
goat	kabi
circumambulate	tawaf
clear	sohi
winnow	taho
tap	tifo
go down	soru
swim	tobo
earthen	tamo
joke	sedu
tifa	tifa
tow	tuda
hack	tada
lift	tede
exist	sema
kick	sepa
drink	oke
write	tulis
cut	toti
my	ri-
measure	tuga
infiltrate	usu
toilet	kakus
orchid	tarate
sailfish	yaru
coffee	kofi
wax	toca
change	adi
collect	falo
volcano	duko
cat	tusa
make	tuso
mosquito	sisi
blind	pilo
stranded	sanga
pair	sabi
our	na-
yellow	kuraci
you	ngoni
throb	benga
strew	biau
mother	yaya
indigo	توم
raise	tofo
fruit	sofo
bend	tuko
space	soa
turn	wako
salak	salak
tremble	tofore
animal	haiwan
ripe	omu
sell	tibo
creep	sasa
Java grass	tagetage
cup	cangkir
small	piring
we	fo-
tray	talam
friend	sobat
stop	توله
scale	tungi
slice	siu
origin	asli
late	talat
complete	sado
chop	teto
day	wange
stick	taji
bring	tabi
razor blade	silet
drip	tege
telekung	cipo
think over	tiba
bee	ofu
not anymore	ruam
daylight	nita
tobacco	tabako
slide	sasu
chisel	sonoto
stop	togu
cross over	toku
sea cucumber	tauja
silver	salaka
hang	wele
tree	siho
a little	cabu
pig	soho
accept	tarima
you	ni-
sharpen	toho
we	mi-
sulfur	walirang
headkerchief	tuala
three	gange
laugh	hohe
pineapple	nanasi
fish	nyao
spread	bahe
west	sosoru
alas	sio
rafter	totara
wood	duto
know	waro
lease	sewa
invite	badu
grand eclectus	ubo
school	tika
strike	tetu
bird	siba
steady	tautau
chempedak	campada
reciting	tadarus
pubic hair	sogo
snakebite	tofa
molar	wangu
ocean	jaha
lake	talaga
tomato	تماتي
Tidore	تدوري
Tuesday	Salasa
Saturday	Saptu
wooden	sauba
mangrove	soki
steel	waja
stern	wudi
wahoo	tarusi
dive	tumu
knitting needle	sarita
busy	sibuk
soap	sabong
bucket	siasia
our	nga-
dim-witted	tiana
buttock	ugu
take	sasi
electricity	listrik
village	gamu
representative	utusan
bowl	safo
plant	uto
year	taong
road	tapak
scoop	sadu
illness	sawang
fall	بابو
filter	tafi
endure	poha
pray	sabea
stop by	tudu
club	sifo
tomato	tamate
copper	tambaga
navel	wotu
sleep	hotu
request	wowasu
knowledge	wowaro
wait	dumaha
leave	sidika
troubled	nyinga susa
heart	nyinga
think	ngitu
child	ngofa
remember	sonyinga
coconut	siusiu
his	ai-
she	mo-
we	ngome
watermelon	samaka
bathe	mahodo
say	waje
they	yo-
kiosk	kios
circumambulate	طواف
five	gaha
waria	timau
certainly	niscaya
frog	papaa
envelope	amflop
ant	bifi
smoke	nyefo
school	sikola
aluminium	almanio
brother-in-law	tafu
enlarge	silamo
I	ngori
sand	dowongi
octopus	bobooca
soon	acabuu
tradition	adati
impolite	afaafa
Sunday	Ahadi
spider	bairere
chameleon	bakebake
Jatropha curcas	balacai hisa
castor oil plant	balacai roriha
Kaempferia galanga	bataka
nutmeg	gosora
barbarian	alifuru
flower	aliguro
slice	aoao
sago	ayaaya
parent	baba jojo
bed	babalea
disaster	bahalaa
bamboo	bahebahe
hermit crab	bilolo
swollen	lako bilolo
