daughter	day
retarded	abnormal
premature termination	abort
machine	robot
charge	libre
of	de
ugod	man
sweeper	libero
sapling	ami
friend	amigo
country	Jordan
head of state	presidente
Catalonia	Catalan
tiger	tigre
mental hospital	mental
metal	gold
Equus	zebra
houseboy	boy
kiwi fruit	kiwi
core	upas
nothing	was
allow	flower
naked	bold
Salmoninae	salmon
of the	del
sour	apod
pondspice	bakan
friend	amiga
return	balik
break	balion
misshapen	baol
maybe	basin
type	bat
fee	bayad
twang	slang
pomegranate	granada
wok	kawa
duck	pato
Earth	bulan
adore	simba
map	mapa
like	sama
anything	nada
dodo	dodo
mother	mama
servant	maid
finish	human
hot	hang
distinct	lain
red	pula
foul	mal
brassiere	bra
become	among
zinc	sin
basketball	basket
Modern Greek	pay
laser beam	laser
medical facility	hospital
arm wrestling	bo
city	mayor
bill of fare	menu
coat hanger	hanger
hog	ham
we	ta
soon	pohon
book	libro
reservoir	dam
snail	bilong
kayak	kayak
terminus	terminal
rock paper scissors	pik
distinctive phrase	slogan
old	daan
explosion	bang
checkmate	mate
cinema	sine
black	negro
Intramuros	Manila
piece	pisa
Saint Francis	San Francisco
Philippines	Valencia
reaping hook	bari
barangay	Ibo
fight	away
dog	ido
blind snake	tuna
giant panda	panda
theatrical play	drama
thread	linen
father	papa
Malta	Gozo
monotonous	sumo
rose	rosa
planet	Venus
let me see	aber
spider	batman
school year	semester
water well	puso
mispronounce	murder
untidy	lago
go past	largo
batchmate	bok
religious prayer	amen
racket-tail	tusing
cheapskate	barat
metallic black	hitam
hello	musta
dry	maa
compatriot	sano
mga	anak
not	di
dear	mahal
unicornfish	bagi
lease	abang
also	sad
vodka	bodka
uncertainty	duda
gasoline	gasolina
white	foreigner
print out	print
academic	toga
feed	pasto
wave	tsunami
second	segundo
sodium chloride	asin
avoid	idag
Eufrocina	Cina
installment	data
albatross	albatros
list	lista
flag down	para
godmother	balai
ash	abo
snap	biti
examine	susi
husband	bana
condom	kondom
first	una
glue	kula
train	tren
individual	personal
teacher	maestro
raccoon dog	tanuki
politics	politika
also	pod
character	Juliet
five	lima
minx	taker
credit	load
appropriate	harbor
embroil	pagan
twelve	dose
nun	madre
spider	boxer
vampirelike creature	abat
attorney	abogado
bowl	paya
piercing	hogar
rap music	rap
wither	laya
butt	target
believe	tuo
asteroid	Alexandra
wave	bakat
pus	nana
magnet	magnet
parish priest	pastor
male	laki
transparent mineral	garnet
plant	aster
coconut	sino
maid	helper
helmet	helmet
cheese	keso
district	distrito
yes	oo
pull	bira
anime	hentai
landslide	anas
fabric	batik
candy	dulse
antelope	eland
ball	gala
kapok tree	kapok
soccer	saker
barb	sima
genitalia	taler
fried beef	tapa
towel	tapis
rain	ulan
insignificant	wail
ten thousand	laksa
lively	bibo
doughnut	donut
wheat	trigo
flour	harina
feces	tai
seafarer	marinero
rice cake ball	masi
volcanic mudflow	lahar
Barbie	barbie
fruit	bunga
explosive projectile	torpedo
sexual intercourse	seks
behave	tomboy
glower	muro
siyete	pito
buok	walo
nuwebe	siyam
Christmas	pasko
Nisaetus philippensis	lawin
radio cassette player	radyo
land	landing
substantial	bloke
Friday	Biyernes
Saturday	Sabado
February	Pebrero
March	Marso
June	Hunyo
July	Hulyo
October	Oktubre
December	Disyembre
Odobenus rosmarus	walrus
they	sila
penis	notch
purple yam	ubi
Hindi	Bollywood
tooth	tango
anger	pistol
so long as	basta
thousand	mil
Sun	adlaw
monitor lizard	halo
accost	sitar
C	Charlie
spice	paprika
Jesus	stigmata
hula	hula
Eirene	Irene
Nephelium lappaceum	rambutan
arc	arko
smoke	aso
frog	baki
ship	barko
fermented fish	budo
inch	buko
common house gecko	tiki
satellite	Belinda
protagonist	Judith
bato lata	standing
work	salir
know-how	kamao
Uranus	Francisco
sand	bas
Joseph	Jose
fester	umido
gofer	tig
crush	lumo
wet	basa
fine	multa
tuck in	insert
gold	oro
minute	minuto
atmospheric optical phenomenon	Steve
maize	mais
marine	marins
according to	segun
discotheque	disko
address	adres
understand	sabot
night	championship
utility pole	poste
park	parking
prostitute	walker
bright	tribal
stamen	malo
well-endowed	gifted
prepuce	tuli
chalice	kalis
yard	yarda
yacht	yate
bear	oso
sweet custard candy ball	yema
yo-yo	yoyo
mean	maldito
male first cousin	primo
police officer	polis
monokini	bikini
Uranus	Margaret
bastarda	bastardo
bastard	bastarda
cow	baka
male parent	ama
headband	turban
eye	mata
despair	desperado
bier	andas
idea	nosebleed
distorted	karat
paper	papel
Annona muricata	sabana
peanut	mani
century	siglo
Latona	Diana
sharp	hait
quota	kota
complexion	moreno
half	tunga
sexual	seksi
Virgin Mary	Maria
guitar	gitara
Capsicum	sili
North America	Amerika
wealthy	dato
take a bath	digo
wedding dress	boda
gift	regalo
office	opis
remora	kumi
province	Abra
April	Abril
Adam	Adan
August	Agosto
Capistrano	Ano
son	Boy
Muse	Calliope
January	Enero
messenger	Iris
title	King
ungo	Lily
surname	Ludo
constellation	Lyra
Tuesday	Martes
May	Mayo
moon	Phoebe
title	Prince
Titan	Rhea
Clotilde	Tilde
Bermuda grass	bermuda
plain	Sharon
poison	hilo
catch up	abas
Internet Protocol	internet
fabric	sinamay
Monday	Lunes
Sunday	Domingo
circumcision	islam
rajahnate	rajah
satisfy	pura
magnet	iman
five times	kalima
tease	sura
tired	hago
journalist	reporter
cliff	ili
anticipate	aman
wake	haya
rip off	janet
tiguwang igat	TI
shark	iho
toggle iron	isi
smudge	sami
Indonesia	Sumatra
respond	sabat
buxom	bigot
sea grape	lato
lifeboat	bote
goddess	Ceres
storeroom	bodega
maroon	lagom
nikaon	kaon
beauty parlor	parlor
week	semana
prostitute	puta
seventy	setenta
wing	pako
yard	bara
and	ug
bugas	og
plant	planta
Lucia	Lucy
glass	bildo
stingray	pagi
unhusked rice	pasi
Moraceae	tipolo
silk	sida
penis	tintin
expression	sus
take a bath	ligo
steered wheel	kingpin
John the Baptist	Isabel
female prostitute	call girl
jubilant	maya
roundabout	rotunda
wash	kuso
Strigops habroptila	kakapo
remora	remora
taxi	taksi
comet	kometa
where	asa
television show	salida
mermaid	sirena
firefighter	bombero
bishop	obispo
ours	ato
drive away	igi
approve	aprobar
prepare	preparar
war	gira
shelf	estante
manta ray	manta
catfish	ito
tourist	turista
pigeon	pati
dog	iro
senate	senado
embalm	embalsamar
argument	argumento
insult	insulto
fall down	tumba
defecate	uo
come	ari
cup	tasa
model	modelo
tourism	turismo
sacred	sagrado
artist	pintor
Michael	Miguel
vetiver	mora
doctor	doktor
checkers	dama
killer whale	orka
sanitary napkin	napkin
island	isla
rotten	lata
worsen	bahar
parasomnia	daman
squid ink	ata
mental retardation	retarded
pop	piti
brothel	kasa
summary execution	salvage
Abelmoschus esculentus	okra
test	testing
stooped shoulder	kubo
Diospyros blancoi	mabolo
priest	pari
love	gugma
carabao	kabaw
freedom	kagawasan
outside	gawas
happiness	kalipay
happy	malipayon
island	Sugbo
Cebu	Sugboanon
Cebuano	Sinugboanon
Visayan	Bisaya
folk medicine	Binisaya
Visayas	Kabisay-an
cry	hilak
know	kahibalo
location	katultol
aquaintance	kaila
truth	kamatuoran
true	matuod
indeed	tinuod
ankle	tuod
belief	pagtuo
truthful	matinud-anon
will	buot
will	pagbuot
good	buotan
good	maayo
cyprinid	tras
goodness	kaayo
flag	bandera
umbrella	payong
henpecked	ander
wandering	laag
swirling	lilo
work	gana
cue	tako
cousin	gaw
idol	garing
long-lasting	durante
moon	Ariel
palace	panting
priestess	babaylan
deer	osa
milled rice	bugas
kill	tipi
bang	bangs
light	suga
girl	ebay
baseball cap	gora
illegal lottery	jai alai
fish trap	timing
giddyup	hiya
motorcycle	honda
likewise	otro
skirt	sayal
which	sain
Moraceae	tipo
mahi-mahi	dorado
roof	atop
daughter	Dina
narra	nara
pistol	pistola
sense	sentido
gasoline	lana
catfish	hito
queen	hara
seafarer	marino
boyfriend	trato
bow	pana
pocket	bolsa
pest	pisti
rebuff	basted
broken	guba
bullfighter	torero
pants	pantalon
rheum	muta
blade	sula
king	hari
consequently	busa
choose	pili
get	kuha
Loriculus philippensis	kusi
vineyard	paras
scratch	garas
corner	kanto
song	kanta
pudding	maja
mooing	inga
offering	halad
sufficient	igo
shrink	gaming
mo ug	mog
gabble	kitab
flame	siga
dry coconut meat	landa
occupy	okupar
distracted	okupado
year	tuig
supergiant star	Rigel
province	Pangasinan
grandchild	apo
semen	biga
grade	kupa
misconstrue	abi
raffle	ripa
James	Santiago
Davao Del Norte	Asuncion
pufferfish	botete
attention	tagad
artery	ugat
buy	bakal
nude	hubo
hour	oras
full	puno
goods	tinda
