eye	mata
fence	sada
soap	sabun
body fluid	sagu
sky	langit
fly	langaw
belt	bakes
frog	bakbak
milk	gatas
spoon	kutsara
house	balay
sacred	balaan
money	salapi
glass	salamin
iron	puthaw
banana	saging
pig	babuy
small cloth bag	puntil
wild beast	langgam
person	sangay
woman	bahi
soup	sabaw
water	wahig
teaspoon	kutsarita
color	babelek
throat	bakeleng
bow-legged	bakang
python	bakesan
waist	bahagan
rainbow	balugtu
nest	salag
braid	salapid
immature areca nut	pusaw
necklace	salay
lip	damulmug
butterfly	kalibangbang
sometimes	samug
stone flint	santik
parable	sambingay
G-string	sambilat
blacksmith	salsalan
small brass	saliyaw
orchid	salindungaw
whirlpool	saliluan
cogon grass	salaysay
vehicle	salakyan
stilt	sagakad
heart	pusung
earth	bugta
skin	langgit
