male	man
mother	mama
wood	stick
name	nem
father	papa
uncle	tot
younger	ow
broom	bloom
cold	cole
rope	lope
red	pil
hungry	ulu
water	chuck
now	alta
gift	potlatch
language	wawa
four	lakit
younger	ats
grandmother	chope
newcomer	cheechako
mother	naha
he	yaka
run	cooley
waterfall	tumchuck
new	chee
come	chako
heart	tumtum
waterfall	tumwata
laugh	heehee
blood	pilpil
crazy	pelton
black	klale
they	klaska
grandfather	chitsh
older	kahpo
aunt	kwalh
woman	klootchman
man	siwash
mamook	mamook bloom
do	mamook
mamook	mamook chako
mamook	mamook chuck
mamook	mamook isick
paddle	isick
mamook	mamook tumtum
mamook	mamook kloshe tumtum
good	kloshe
stay	mitlite
three	klone
one	ikt
two	mokst
five	kwinnum
dry	dly
cry	cly
shame	shem
warm	waum
cat	puss-puss
bird	kalakala
mouse	hoolhool
sturgeon	stutchun
fire	piah
tongue	lalang
door	lapote
table	latab
apple	lapom
dog	kamooksh
American	boston
light	wik-tʰil
deer	mowič
rabbit	yułqat q̓olan
long	yułqat
ear	q̓olan
cougar	yułqat oputs
