egg	muka
koala	kuula
vegetable food	mai
another	kuma
hole	yapa
common Australian fly	tapu
emu	kari
man	miyu
hand	mara
five	mila
ashes	murro
posterior	yarra
pit	pinti
possum	mami
hip	miti
red bitter root	kunti
boomerang	wadna
spider	waku
kangaroo	nantu
brain	mukamuka
animal	pardu
kangaroo	kurlu
small edible goanna	kalta
emu	kardi
where	waa
yes	nii
seven	wangu
water	kauwi
white	parkana
two	purlaityi
three	marnkutyi
four	yarapurla
six	marru
six	yarapurla purlaityi
eight	ngarla
nine	pauwa
ten	kumirrka
tongue	tadlanya
spit	tadli
spit	tadlibattendi
throw	battendi
nose	mudlha
light	yaparra
cluster	yapa-yaparri
leg	kanthi
side	mudlhakanthi
snot	nuki
handkerchief	nuki-ana
handkerchief	nuki wirrkati
wiper	wirrkati
wipe	wirrkanthi
wash	wirrkarrinthi
sniff snot	nuki winturrinthi
pull	winturrinthi
shave	wintunthi
draw	watunthi
nostril	mudlhayapa
leg	yarku
calf	yarla-muka
brain	muka-muka
scrotum	kardlumuka
male breast	kuntumuka
chest	kuntu
testes	ngarrumuka
sternum	kuntuwarpu
bone	warpu
cheekbone	marltawarpu
cheek	maltawarta
beard	marlta
cheek	marltaitya
cheek	marltawarta
rib	paintyi warpu
hip bone	miti warpu
side	paintyi
computer	mukarntu
lightning	karntu
kangaroo	tarnta
kangaroo	wauwi
horse	pindinantu
den	pindi
European person	pindimeyu
European food	pindimai
joey	idla
emu	taitya
emu	kurdikurdi
tuft	kardiwapa
make	wappendi
finish	malariappendi
drop	worniappendi
barter	wakuinya
spiderweb	wakungarri
string	ngarri
hanged person	ngarritya
snake	ilya
ringtail	wangku
white person	pinti miyu
wallaby	kurnta
female wallaby	kunadna
wallaby	wadlha
wombat	wartu
head	mukarta
think deeply	mukapapanthi
think	yailtyanthi
think	payinthi
payinthi	payirrinthi
brushtail	pirlta
possum	wirrapi
magpie	kurraka
species	tiritpa
kookaburra	kukatka
kookaburra	ngungana
belch	ngungulirdu
goanna	puntunya
goanna	kaityita
infected	kaintyirrinthi
transitive	kaityanthi
vermin	paitya
old woman	paityabulti
bone	paityawaatti
fly	tupurra
butterfly	pilyapilya
flesh	itya
septum	mudlhayala
spit	tadlibandi
calf	yarla
lower arm	manarntu
upper arm	wartaturti
cricket	yartapirriti
