be	may
broth	aam
irregular	abnormal
free	libre
or	o
although	man
this one	are
mockery	kutya
hide	tago
human	tao
gasoline	gas
Malawi	Malawi
Uganda	Uganda
radar	radar
president	presidente
when	noon
beast	animal
and	at
disgust	yak
removing	upas
world	mundo
kiss	beso
group	grupo
birthmark	balat
return	balik
prostitute	PI
burying	baon
overreactive	OA
bay	look
foreign	slang
grenade	granada
large	kawa
weak	lampa
butcher	matador
slaughterhouse	matadero
animal	pata
chat	chat
regret	sana
act	simba
we	kami
act	sama
Indian	Bombay
ace	alas
uncle	mama
bait	pain
assassination	lingo
priest	among
plain	simple
ladies	bag
tower	tore
shoe polish	betun
basis	base
abacus	abako
heirloom	mana
Japanese	katana
too	rin
what	ano
object	hanap
katha	kata
coat hanger	hanger
bisikleta	ni
three	tres
one	uno
book	libro
obviously	natural
bent	kilo
refined	yumi
already	na
kayo	po
yet	pa
bull	toro
speak	Tagalog
path	daan
holy	banal
cinema	sine
dark	negro
act	tapas
Philippines	Valencia
destiny	destino
eagerness	ola
fight	away
computer	ordenador
dad	papa
according to	raw
best friend	bes
buzzer	timbre
language	Cebuano
heated	debate
earth	lupa
let's see	aber
pound	libra
heart	puso
beat	pintig
but	pero
pen	pluma
boss	bos
gasoline	gaas
rising	alma
holy	santo
Holy Week	Semana Santa
pencil	mongol
Esdras	Ezra
money	pera
fairy	ada
present	moderno
my	akin
woman	ale
wolf	lobo
amen	amen
spring	batis
Boracay	Malay
suffer	balian
fond	barat
rope	tali
beetle	uang
care	ingat
always	lagi
hello	musta
stupid	sano
number	numero
pung	pong
elder brother	kuya
no	di
love	mahal
money	anda
of	sa
function	andar
watcher	abang
rajah	raha
of	ng
point	punto
two	dos
rehearsal	ensayo
vodka	bodka
doubt	duda
petrol	gasolina
not	di-
sheath	saha
hunchback	kuba
wave	tsunami
abuse	abuso
table	mesa
second	segundo
cackle	kakak
salt	asin
harp	alpa
envelope	sobre
unprovoked	dale
lightness	gaan
coconut milk	gata
alb	alba
emperor	emperador
dyke	dike
pirate	pirata
criticism	ergo
here	dine
too	din
meter	metro
ash	abo
rotten	puka
key	susi
drug	droga
me	ko
condom	kondom
first	una
dry	kula
term of address	tata
open	waag
teacher	maestro
vagina	puke
bed	kama
pencil	lapis
vulva	kiki
zebra	sebra
politics	politika
vine	saga
mathematics	matematika
bulldog	buldog
cord	sate
five	lima
notch	sangat
twelve	dose
abandoned	abandonado
nun	madre
alarm clock	despertador
ambush	abat
lawyer	abogado
tally	paya
mass	misa
allophony	-an
blow	singa
prone	-in
illegal immigrant	TNT
aeta	ita
kalayaan	laya
parrot	loro
sword	espada
frequency	limit
na	anim
parish priest	pastor
size	laki
arrive	dumating
become	maging
bring	dalhin
buy	bumili
leave	umalis
come	lumapit
drink	uminom
eat	kumain
eat	kainin
give	magbigay
go	magpatuloy
have	magkaroon
long live	mabuhay
live	manirahan
love	umibig
make	gumawa
meet	magtagpo
need	mangailangan
return	magbalik
say	magsabi
stay	matira
stay	tumira
take	kunin
understand	maintidihan
who	sino
drunk	lasing
breakfast	agahan
breakfast	almusal
lunch	tanghalian
dinner	hapunan
afternoon	meryenda
cheese	keso
district	distrito
yes	oo
place	pook
opinion	wari
pure	puro
line	pila
stone	adobe
low	anas
raft	balsa
comrade	brad
act	dais
great	gimbal
hey	hoy
oblique case	kay
tatters	lawing
drip	sago
worship	samba
feather	sima
wraparound	tapis
elegant	taring
rain	ulan
kindness	bait
worth	bale
liked	trip
wholesale	aap
when	nang
lively	bibo
wheat	trigo
flour	harina
joke	biro
ode	oda
appeal	apela
hara-kiri	harakiri
fruit	bunga
blowgun	sumpit
sex	seks
lesbian	tomboy
na	dalawa
na	tatlo
na	apat
na	walo
ten	sampu
na	siyam
free	malaya
Christmas	pasko
hawk	lawin
radio	radyo
whore	pok-pok
hey	oy
find out	alamin
block	bloke
language	Filipino
sweet acacia	aroma
Monday	lunes
Wednesday	Miyerkules
Thursday	Huwebes
Friday	Biyernes
Saturday	Sabado
Sunday	Linggo
February	Pebrero
March	Marso
June	Hunyo
July	Hulyo
September	Setyembre
October	Oktubre
November	Nobyembre
December	Disyembre
Philippines	Kapampangan
Ilocano	Ilokano
they	sila
Iraq	Irak
fool	bobo
nod	tango
declaration	salita
at once	dagli
e.g.	hal
sun	adlaw
boy	taking
die	dado
direction	banda
guess	hula
daisy	margarita
arch	arko
arsenic	arseniko
mannequin	manikin
intense	pita
ship	barko
vote	boto
glans penis	burat
penis	titi
allegedly	umano
cruel	brutal
problem	problema
here	dito
in	nasa
sap	yago
fist	kamao
pillow	unan
expression	ya
idea	haka
patrol	ronda
seal	poka
insane	loko
fine	multa
plan	plano
minute	minuto
corn	mais
only	lang
doubt	agam
address	adres
big	haha
column	poste
circumcision	tuli
ignorant	maang
kris	kalis
yard	yarda
yacht	yate
bear	oso
iodine	yodo
yo-yo	yoyo
mean	maldito
trend	uso
Uranus	Urano
boron	boro
want	gusto
irritation	asap
bastard	bastardo
mucus	dita
you	ka
symbol	simbolo
Philippines	Pilipinas
abacus	abakus
female	abogada
water	poso
eye	mata
desperate	desperado
effects unit	pedal
art	arte
sangkatutak	nosebleed
arrival	dating
element	elemento
paper	papel
savanna	sabana
Africa	Aprika
peanut	mani
Mars	Marte
Saturn	Saturno
Neptune	Neptuno
stupid	boba
century	siglo
hit	palo
dark-skinned	morena
tanned	moreno
cooked	kanin
rotten	panis
Mary	Maria
guitar	gitara
species	lipa
pepper	sili
gullible	tanga
act	duro
route	ruta
North America	Amerika
weak	mahina
nutgrass	mutha
gift	regalo
ah	a
April	Abril
Adam	Adan
August	Agosto
homosexual	Barbie
Batangas	Bonbon
company	Co
title	Don
January	Enero
appellation	Ka
Tuesday	Martes
May	Mayo
African	Negro
Pope	Papa
species	papaw
Christmas	Pasko
title	Prince
lord	poon
wrong	mali
deer	usa
your	mo
belt	korea
plate	plato
fabric	sinamay
prisoner	preso
Monday	Lunes
fold	tupi
chaff	ipa
abundant	saksa
week	linggo
planet	planeta
no	hindi
height	taas
six	sais
younger sister	nene
one fifth	kalima
mosque	masjid
Islam	Medina
damage	sira
Intsik	GI
grain	amas
consenting	haya
dominoes	domino
maiden	binibini
jump	talon
Aristotle	Aristoteles
understood	gets
boy	iho
hook	saat
Japanese	Nihongo
slack	lundo
design	sabat
feces	tae
entrenchment	pimpin
sharpness	talas
fine	pino
storeroom	bodega
species	sari
joining	lagom
actor	aktor
blood	kato
prostitute	puta
time	tagal
beautiful	nenee
moustache	bigote
clothes	damit
place	lugar
puppy	tuta
shore	kosta
button	botones
queen	reyna
balcony	balkon
bamboo	taka
culture	kultura
light	kanti
ink	tinta
stingray	pagi
ox	goto
lean	sandal
rice	galapong
steered	kingpin
according to	daw
mixture	halo-halo
lawsuit	demanda
scent	amoy
chestnut munia	maya
drop	patak
Buddha	Buda
round	rotunda
basilica	basilika
comet	kometa
lighthouse	parola
hope	asa
treaty	tratado
farewell	despedida
age	edad
suitcase	maleta
detained	detenido
mermaid	sirena
firefighter	bombero
bishop	obispo
case	asunto
compassion	awa
dough	masa
shelf	estante
stool	taburete
wardrobe	aparador
row	hilera
crippleness	balda
entrance	entrada
this	ito
surprise	sorpresa
tourist	turista
and	pati
mandate	mandato
tone	tono
menstruation	regla
wire	alambre
bib	babero
use	golpe
argument	argumento
respect	respeto
insult	insulto
fall down	tumba
remains	labi
bomb	bomba
dignity	dignidad
style	estilo
throne	trono
group	tropa
rubber	goma
toilet	inodoro
solider	militar
department	departamento
model	modelo
tourism	turismo
hung	juts
badly	gambol
vulgar	bulgar
deep	laot
doctor	doktor
correct	tama
special	di-pangkaraniwan
impressive	lodi
irritation	inis
ours	ata
layer	saray
door	pinto
cock	kasa
lalaki	ang
impossible	imposible
encasement	uma
summary	salvage
low	unga
funnel	embudo
feces	pupu
hut	kubo
long	aak
Diospyros blancoi	mabolo
bring	magdala
angry	dara
priest	pari
Visayan	Bisaya
rabbit	buot
umbrella	payong
neck	leeg
profession	-ista
picked	pitas
traitor	lilo
characteristic	kampang
crossing	sambal
cue	tako
whip	latigo
dipper	tabo
aid	ayuda
ivory	garing
tastelessness	yapa
small	sawing
poor	pobre
female	babaylan
wrap	abrigo
monarch	sultan
fluke	tsamba
scorpion	iwi
dollar	dolar
vigilante	vigilante
grease	grasa
thrush	tordo
accusation	habla
light	sindi
administrator	administrador
metal	kansa
letter	letra
saltiness	alat
modus operandi	modus
when	kailan
gracefulness	garbo
republic	republika
tattoo	tato
oppressed	api
insane	loka
pistol	pistola
level	pawpaw
temple	sentido
catfish	hito
substance	sapid
treatment	trato
pilgrim	peregrino
shy	torpe
bow	pana
important	importante
turned down	basted
bamboo	bila
curry	kari
pants	pantalon
gound	muta
sign	tanda
carbuncle	sula
king	hari
front	harap
bruise	pasa
squeezing out	piga
choose	pili
stab	taga
sheep	tupa
take	kuha
cook	kusi
corner	kanto
song	kanta
filled	hanga
fish	pesa
cohesive	tribu
fire	siga
lascivious	kiri
axe	landa
province	Pangasinan
small	litas
pint	pitis
favored	suki
oppress	siil
choked	sakal
James	Santiago
Saint	San Jose
bellicose	pinga
Arab	Arabe
root	ugat
alcoholic	alak
planted	bakal
open	buka
mountain	bundok
thickness	kapal
able	kaya
weakness	hina
time	oras
island	pulo
experiencing	danas
purchase	bili
year	taon
laugh	tawa
goods	tinda
calf	binti
embroidery	burda
calf	guya
spirit	sigla
egg	itlog
style	balintawak
Casuarina equisetifolia	aguho
Philippine	almon
tree	anubing
purple	banaba
ogre	kapre
former	dati
pillowcase	punda
blouse	blusa
conduct	asal
apron	tapi
addict	adik
mango	mangga
ballpoint pen	bolpen
white	puto
rent	upa
possible	posible
species	nami
dye	tina
nail	kuko
misbehaving	kulit
modesty	bini
head	ulo
foolish	urat
Pandanus	pandan
bowl	kalo
saltwater	tasik
cry	tangis
crack	uka
because	kasi
washing	laba
sky	langit
complete	utas
from	mula
dragon	naga
disease	sakit
beauty	ganda
plate	pinggan
weight	bigat
something	bigay
south	timog
husked	bigas
mouth	bibig
bite	kagat
act	inom
pig	baboy
new	bago
ray	sinag
cat	pusa
white	puti
immigration	migmig
chicken	manok
sail	layag
black	itim
love	ibig
flow	agos
spinach	halom
fly	langaw
pananamit	pan-
paid	araw
clothing	baro
die	matay
mother	ina
Filipino	Pilipino
Filipino	Pinoy
Filipino	Noypi
can	keri
tongue	dila
marble	holen
hilly	lubang
eat	kain
cabbage palm	buli
account	ulat
sandpaper	liha
egg	lisa
taste	lasa
earliness	aga
pawn	peon
leave	hamo
stitch	tahi
garbage	basura
apparatus	aparato
alms	limos
Danish	Danes
mashed	kamas
swamp	lati
OK	sige
annoying	peste
turn	lingon
immature	kapak
aspirin	aspirina
dysentery	iti
notice	puna
anointment	himo
placed	dani
dirt	amos
arm	bisig
river	wawa
roulette	ruleta
and	saka
uncle	amain
ass	asno
forked	bika
supplication	samo
tied	haso
eight	otso
delegate	sugo
if	kung
water	saro
nothing	wala
tease	makulit
peculiar	ango
drinking	toma
immoral	inmoral
entire	entero
constipation	tibi
wristwatch	relo
public	madla
grandfather	lolo
aunt	tita
ball	bola
specifically	mismo
cholera	kolera
rebel	rebelde
torn	punit
purple	lila
hey	huy
fight	warla
immediately	agad
star	astro
spit	dura
saliva	laway
anise	anis
scarce	dalang
mind	guni
ylang ylang	ilang-ilang
border	gilid
kidnapper	kidnaper
minute hand	minutero
kilometer	kilometro
stupid	engot
accustomed	gamay
queen	sultana
Holy Cross	Santa Cruz
side	piling
carrying	pingga
fail	palya
forehead	noo
discord	alit
plot	pakana
act	kantot
paint	pintura
ethnic group	negrito
Sibuyan Sea	Kalibo
Aklan	Aklan
abusive	abusado
armed	armado
boot	bota
it depends	depende
canvas	lona
Philippines	barangay
Sanson	Samson
down payment	adelanto
adornment	adorno
alarm	alarma
in a hurry	apurado
act	apura
coin	aras
weapon	armas
rancidity	anta
lateness	atraso
fasting	ayuno
known	batid
law	batas
time	beses
boot	botas
deposit	deposito
desperate	desesperado
discouraged	desmayado
discouragement	desmaya
dynamite	dinamita
forgiveness	dispensa
double	doble
enamel	esmalte
spending	gasta
hindrance	estorbo
gravel	graba
outrageous	grabe
pull	hila
washing	hilamos
touch	hipo
blow	hipan
tassel	lambo
raft	lamo
meaning	laman
tombstone	lapida
raisin	pasas
suffering	pasmado
bet	logro
pilot	piloto
peso	piso
chalkboard	pisara
Jonah	Jonas
handcuffs	posas
dentist	dentista
polished	pulido
pulse	pulso
softened	mamad
maneuver	maniobra
fat	mataba
sharp	mataras
molestation	molesta
Italian	Italyano
breadfruit	rimas
oyster	talaba
start	simula
title	titulo
spoon-feed	subo
alimony	sustento
equal	tumbas
movement	usad
second gear	segunda
puta	putang ina mo
wala	walang hiya
feast day	pista
driver	motorista
beer	serbesa
green tree ant	antik
bird	ibon
crab	alimango
yawn	hikab
crazy	ulol
slowness	umat
alabaster	alabastro
prison	oblo
skull	bungo
vagina	pepe
wrath	poot
worn	luma
joking	goyo
act	sali
ruby	rubi
transmission	hawa
moon	buwan
inch	sandali
instant	saglit
ng	n.t.
noon	tanghali
afternoon	hapon
morning	umaga
ng	n.u.
ng	n.h.
ng	n.g.
herpes	buni
athlete	atleta
garrote	garote
string	pisi
lavatory	banyo
uterus	matris
mallet	maso
sap	katas
dressiness	gara
Vatican	Vaticano
estuary	estero
cigar	sigaro
cardboard	karton
movie star	artista
alcohol	alkohol
herb	albularyo
bribe	payola
governor	gobernador
group	barkada
hair	buhok
flower	bulaklak
arm	braso
farm	bukid
star	bituin
ocean	dagat
addition	dagdag
because	dahil
reason	dahilan
must	dapat
feeling	damdamin
deceit	daya
octopus	salabay
girl	iha
antelope	antilope
eclipse	laho
respectful	mang
taunt	tuya
dry	tuyo
disgust	suya
stake	tulos
which	alin
eyewitness	saksi
tiny	tuma
Christ	Kristo
lapsed	lipas
flour	bami
ring	singsing
buoy	boya
prolapsed	buwa
ungrateful	ingrato
third	bokal
awning	kayan
tree	dao
mooring	sao
set	kang
kick	sipa
tilted	ungi
botany	botanika
climate	klima
small	paho
Welsh	Gales
dirty	tubal
type	uri
ignorant	ignorante
pierce	saksak
detached	bakbak
parrot	papagayo
unroofed	papas
abyss	bangin
goodbye	babay
windbag	halhal
basketball	basketbol
battalion	batalyon
trombone	trombon
Timothy	Timoteo
strip	bulay
atom	atomo
semantics	semantika
equilibrium	balanse
world	daigdig
cabinet	kabinet
captain	kapitan
clinic	klinika
conductor	konduktor
consul	konsul
coupon	kupon
byproduct	yaga
ethics	etika
lemon	limon
