husband	man
me	mi
wind	win
heart	at
hand	an
mouse	rat
back	baik
lower leg	leg
cheek	bag
thigh	wake
tooth	tit
sun	san
mature	u
you	yumi
you	yu
he	em
they	ol
we	yumpla
blood	blad
head	ed
bone	bon
abdomen	beli
coconut	wai
shadow	mar
chin	zo
immature	gad
tongue	tang
grandmother	aka
paternal aunt	anti
throat	trot
mother	ama
wife	oman
moon	mun
co-brother-in-law	akari
grandparent	ata
liver	liba
buttocks	kup
saliva	spet
penis	adawaiwai
quail	baziguru
booby	beuger
Torres Strait pigeon	daumer
tiger shark	taigasak
cow	bulmakau
dugong	dhangal
rat	mukeis
goat	nanigot
cat	pusiket
rooster	man paul
hen	oman paul
whip snake	wipsneik
ant	anis
they	dempla
they	demtu
we	mipla
we	mitu
sit	sidaun
sit down	sidaun daun
overripe	ageg
drai	drai koknat
coconut	kopespes
immature	smol koknat
musu	musu koknat
coconut	musu
coconut	giru
armpit	kenani
wife	neitawet
turtle	totol
loggerhead turtle	biged
snake	sneik
shark	sak
paternal uncle	ankel
white	waitman
bow and arrow	bunara
child	piknini
fingernail	tapot
body hair	komus
navel	kopor
calf	merod
forehead	morop
buttocks	motop
buttocks	byain
finger	pingga
body	bodi
brain	brein
hair	eya
mouth	maut
facial hair	wiskit
sole	traik
sweat	swet
shoulder	solda
flying fox	saper
flying fox	sapur
big	big win
baby	smol piknini
hungry	angre
thirsty	nyap
black	blaik
sugarcane	sugaken
bêche-de-mer	pislama
island	ailan
cicada	zori
pandanus	abal
food	kaikai
