hey	eye
kangaroo	canguro
rich	rico
tomato	tomatl
seal	foca
cotton	ichcatl
frog	cueyatl
stupid	tunto
domestic cat	mi̱stu
mat	petlasoli̱
black sapote	tliltzapotl
needle	öcuxa
Mexican marigold	sempoalxuchi̱tl
Canis latrans	coyutl
temple	teupa
star	sitlali̱
reed	öcatl
turtle	öyutl
fierce	piero
son	ixo
reindeer	caribú
metate	metlatl
apple	xocotl
bread	tlaxcali̱
Nasua narica	texu
pigeon	palumax
heron	östötl
mouse	qui̱mi̱chi̱
Middle American indigo snake	tlilcohuatl
sea	ötiescatl
water	ötzintli̱
turkey	bexulutl
plaza	plösa
Erythrina	lulules
Sechium edule	chayojtli̱
Erythrina	tzompömi̱tl
Malva	ajalactli̱
Euphorbia pulcherrima	pöscuaxuchi̱tl
bird	öcöhualtututl
ring	öniyo
reed mat	öcapetlatl
banana	plötöni̱x
plate	plöto
jug	xölo
juicy	öyo
herb	pöpöqui̱li̱tl
peanut	tlölcacahuatl
pickaxe	tlölpico
sow	pi̱tzolama
pig	pi̱tzotl
mortar	mulcaxi̱tl
glass	teitztli̱
once	sajpa
shoe	sapötos
week	semöna
orange tree	alöxöxcuabi̱tl
orange grove	alöxöxtla
rebozo	rebuso
word	tlajtuli̱
vine	temecatl
stone	tietetu
eye	ixtelolo
spotted	pintojti̱c
work	traböjo
hail	tesi̱bi̱
hail	tesi̱bi̱tl
mamey sapote	tesontzapotl
carrot	sanaúria
mosquito	sancurojtla
cigarette	secöro
necklace	quechcuscatl
necklace	cuscatl
lioness	leyulama
female	-lama
lion	leyu
mane	iquechtojmeyo
female dog	chi̱chi̱lama
female cat	mi̱slama
mare	yehualama
female donkey	purolama
sheep	calnielo
shepherd	calnielojpi̱xqui̱
shirt	camixajtli̱
roll up	mocamixaololoa
lizard	comixi̱
here	ni̱cö
hen	pi̱yolama
chicken	pi̱yotu
chicken	pi̱yonacatl
expensive	pateyo
cheap	baröto
duck	öpöto
in vain	en bölde
chicken pox	söhuatlabepöjqui̱
railway	treni̱jojtli̱
road	ojtli̱
street	cayaju
highway	bieyi̱ ojtli̱
angel	öngel
love	tlasojti̱li̱stli̱
braid	tlaxoniepali̱
moon	mietztuna
hare	si̱jtli̱
sapote tree	tzapocuabitl
now	öxö
Sunday	rominco
salary	röya
bolt	röyo
drum	tampur
grave	mi̱jcöcoyoctli̱
hole	coyoctli̱
baptistery	tlacuötiequilcalco
house	cali̱
skirt	cuieyi̱tl
eight	chi̱cuieyi̱
mask	xöyacatl
hat	xomplielojtli̱
soldier	soltöro
woman	sibatl
head	itzonteco
moustache	tientzontli̱
cactus	sajcanopali̱tl
belt	caqui̱xtuctli̱
soft squash	tzi̱qui̱layojtli̱
green	yelutl
sacaton	xelhuastli̱
thorn	bi̱tztli̱
fire	tletzintli̱
fruit	xuchi̱cuali̱
bean	yetzintli̱
white bean	istöqui̱tl
hat	cuömötlatl
grasshopper	cuicuicayötzi
fiber	ichtli̱
sandal	cactli̱
pitchfork	cuajtuctli̱
oven	tlecui̱li̱tl
