that	on
the	in
where	can
drink	i
scarlet macaw	alo
window	ventana
ouch	he
cēcen	ce
ihqueh	ac
dye	pa
hurt	cocoa
eye	nix
elephant	elefante
liver	nel
he	yeh
wine	vino
quim-	quin-
ant	azcatl
turkey	huehxolotl
cave	oztotl
labial	an-
field	milli
twist	malina
priest	padre
Egypt	Egipto
liver	mel
father	tata
edible	axolotl
atlatl	ahtlatl
wash	paca
verb	-ni
you	teh
eye	mix
signature	firma
April	abril
and	huan
chili pepper	chilli
shoot	mina
chocolate	chocolatl
city	ciudad
Juº	Juan
spread out	mani
cake	tamalli
clay	palli
God	Dios
clear	nahuatl
Quetzalcoatlus	Quetzalcoatl
diminutive	-ton
first	achtopa
first	acattopa
liver	iel
feces	cuitlatl
dog	itzcuintli
district	barrio
church	iglesia
melt	pati
Spanish	señora
municipal	alcalde
ballcourt	tlachtli
merchant	pochtecatl
lay	teca
dagger	puñal
letter	letra
where	canin
we	ti-
die	cecmiqui
liver	elli
tooth	tlantli
crow	cacalotl
take	cui
know	mati
mother	innan
world	tlalticpactli
mountain	tepetl
priest	teopixqui
astrologer	tlahciuhqui
consider	tlahuelilocamati
scoundrel	tlahueliloc
quēn	quen otitlathuiltic
believed	valido
you	tehhuatl
love	tlazohtla
good	cualli
blind	ixpopoyotl
strengthen	chicahua
maize	tlaxcalli
paper	amatl
pigeon	huilotl
foot	icxitl
tobacco	iyetl
skirt	ichcueitl
juice	neuctli
mother	nantli
father	tahtli
respectable	mahuiztic
hill	tepec
tomatillo	tomatl
tomato	xitomatl
reputation	tocaitl
rabbit	tochtli
customs	tlamanitiliztli
cacao	cacahuatl
town	atl tepetl
fish	michin
Dutchman's pipe	tomahuactlacopahtli
painting	pintura
tongue	nenepilli
hand	maitl
finger	mahpilli
branch	cuauhmaitl
shrub	cuahuitl
otter	ahuitzotl
home	techan
descend	temo
good	cualnemiliztli
proclamation	pregon
cow	vacas
cow	huacax
gun	tlequiquiztli
fire	tletl
wild	tecuani
town	altepetl
negative	ah-
horse	cahuallo
mixtli	Mixtlan
cloud	mixtli
reptilian	cipactli
air	ehecatl
king vulture	cozcacuauhtli
day sign	cuauhtli
rock	tetl
god	teotl
god	teteoh
god	iteouh
gods	teteo
god	iteohuan
god	toteohuan
cougar	miztli
day sign	acatl
vessel	acalli
water	atl
lip piercing	tenzacatl
lip plug	tentetl
Aztec	Mictlanteuctli
nobility	teucyotl
die	miqui
dead	miquiztli
hear	caqui
mother	nonan
merely	zan
claw	cuauhiztitl
head	cuaitl
heart	yollohtli
warfare	yaoyotl
die	yaomiqui
totecuiyo	toteº
mortal	miquini
plant	tezonpahtli
plant	elozacatl
yaoyotl	yaotl
war	yaotequihuah
paternity	tahyotl
peyote	peyotl
barbarian	tenitl
fame	tenyotl
Aztec	Tenochtitlan
fat	ceceyoh
centli	Caxtillan centli
greenstone	chalchihuitl
contradict	contradeciroa
cotton	ichcatl
-ness	-yotl
Popocatépetl	Popocatzin
die	poyomiqui
puddle	atezcatl
tithe	diezmo
obsidian	itztli
someone	te-
bird	tototl
turkey	totolin
staff	topilli
constable	topileh
Tollan	toltecatl
jacal	xahcalli
shack	xacalli
huēi	huei zahuatl
grass	zacayoh
quail	zolin
woman	cihuatl
Montezuma	Ahuitzotl
Wilson's snipe	azolin
inhuman	ahtlacatl
fisherman	atlahcatl
gully	atlacomolli
irrigate	amilli
deer	mazatl
afternoon	teotlac
dust	teuhtli
Teochichimeca	teochichimecatl
speech	tlahtolli
black	tlilli
black	tliltic
doctor	ticitl
maize	texiliztli
poison	pahtli
bee	xicohtli
arrow	mitl
flower	xochitl
fruit	xochihcualli
fog	poctli
mirror	tezcatl
workable	tepoztli
metal	tepoztlateconi
crossbow	tepozmitl
toad	tamazolin
bean	etl
lip	tentli
beard	tentzontli
child	piltzintli
plant	huitzquilitl
old woman	ilama
secretly	mixtitlan ayauhtitlan
cuitlapilli	cuitlapilli ahtlapalli
arrive	ahci
Moctezuma	Moteuczoma
fly	zayolin
in	in mitl in chimalli
sea	ilhuicaatl
Golden eagle	itzcuauhtli
sorcerer	nahualli
doll	nenetl
prickly pear cactus	nohpalli
worm	ocuilin
monkey	ozomahtli
pregnant	otztli
latex	olli
butterfly	papalotl
flint	tecpatl
gold	teocuitlatentetl
spark	tlemoyotl
pyramid	tzacualli
fool	xolopihtli
glutton	xihxicuin
thunder	tlatlatziniliztli
Spaniard	caxtiltecatl
feather	ihhuitl
belly	ihtetl
provisions	ihtacatl
vapor	ihpotoctli
breath	ihiyotl
fiber	ichtli
eyebrow	ixcuahmolli
upright	huehuetl
eyeball	ixtelolohtli
nephew	machtli
yaoyutl	taoyutl
elderly	huehueh
elderly	huehuetqueh
deer	mamazah
born	tlacati
born	tlacatilia
demon	tlacatecolotl
prostitute	ahuiyani
brothel	ahuiyanicalli
die	micqui
world	cemanahuatl
icicle	cetl
Chichimec	chichimecatl
true	nelli
snowy egret	aztatl
pelican	atotolin
egg	totoltetl
slave	tlacohtli
provide	caltia
commoner	macehualli
musketeer	matlequiquiztlazqui
arquebus	matlequiquiztli
monkey	oquichozomahtli
coyote	coyotl
bracelet	teocuitlamaquiztli
pulque	octli
pineapple	matzahtli
atemmeh	atemitl
Spanish	tepoztopilli
puma	cihuamiztli
house cat	mizton
puma	miztontli
wildcat	ocotochtli
giant	quinamehtli
ship	Caxtillan acalli
latin	latin tlahtolli
charity	tetlazohtlaliztli
macuahuitl	maccuahuitl
hen	cihuatotolin
woodchuck	cihuatotolixpopoyotl
necromancy	nahuallotl
Tyto alba	chicuahtli
ruler	tlahtoani
estoc	tepozmaccuahuitl yacapitzahuac
morion	tepozcuacalalahtli
soap	ahmolli
thumb	cemiztitl
wall	altepetenamitl
ripen	moxahua
mosque	mahomacalli
Nahuatl	nahuatlahtolli
wise	tlamatini
path	ohtli
confessionary	neyolmelahualoni
wrong	tlahtlacoa
realm	tlahtohcayotl
touch	matoca
carnal	tlahyelpaquiliztli
pain	tonehua
crystal	tlapaltehuilotl
cage	cuauhcalli
momoyoh	moyotl
wood	cuauhcoconetl
snake	coatl
spell	tlacatecolotlahtolli
not	ahmo
hurry	ihcihui
agave	meneuctli
overgarment	tilmahtli
shoulder	ahcolli
paint	tlahcuiloltic
time	-pa
bless	teochihua
warmth	tonalli
heavy	etic
food	molli
seller	iztanamacac
white	iztac
testicle	atetl
tlapalli	tlilli tlapalli
gold	teocuitlacuauhtentetl
lip plug	cuauhtentetl
cihoapilli	cihuapilli
day sign	olin
broadcast	chachayahua
begin	pehua
sing	cuica
ride	pantlalia
pink	xochipalli
sugarcane	ohuatl
there	oncan
iz	nican
dahlia	acocohxochitl
sauce	ahuacamolli
ocelot	tlahcoocelotl
when	ihcuac
who	āquin
cypress	ahuehuetl
face	ixtli
mistake	tlahtlacolli
mistake	tlahtlacoani
man	oquichtli
Tula	Tollan
Texcoco	Nezahualpilli
oyster	eptli
bloody	ezzoh
bloody	ezhuia
epaçōyò	epazoyoh
epazote	epazotl
rainy season	xopantlah
quimichtin	quimichin
maggot	nacaocuilin
child	conetl
starve	apizmiqui
killer	tlacamictiani
sand	xalli
somebody	acah
piping	acayotl
Acolhua	acolhuah
Amaquemecan	Amaquemehcan
all	mochi
jaguar	ocelotl
come	quiza
heart	yollotl
call	aculhuacanotza
rabid	tlacamazatl
mean	quihtoznequi
bee	pipiyolin
apostle	apostolo
Mexican	Mexihcatlahtolpan
grandfather	colli
snap	cotoni
noble	pilli
close	tzacui
close	tzacua
shine	tona
living	yolqui
nighttime	yohualli
dark	yohua
vulture	tzopilotl
nose	yacatl
little finger	mahpilxocoyotl
side	centlapal
local	nican tlacatl
pearl	epyollohtli
crotch	maxactli
Jesus Christ	Jesucristo
hummingbird	Huitzilopochtli
regarding	-techpa
deceiver	teixcuepani
deceive	ixcuepa
necoc	necoc yaotl
honor	mahuizzotl
locative	-tech
turpentine	oxinamacac
Huitzilopochtli	Painal
fish	michhuah
Otomi	otomitl
Mixtec	mixtecatl
dream	temictli
vengeance	tzoncui
begin	tzinti
live	nemi
duck	canauhtli
beeswax	zoquixicohcuitlatl
egg	zoltetl
duck	canauhtetl
eel	coamichin
star	citlalin
belfry	campanario
heaven	ilhuicac
qua	cua
people	tlacah
person	tlacatl
smoke	popoca
silk-cotton tree	pochotl
silk-cotton tree	pochotitlan
silk-cotton tree	pochocuauhtitech
atole	atolli
passive	cuiloni
head	tzontecomatl
face	xayacatl
pig	pitzotl
desire	elehuia
ashes	nextli
fingernail	iztetl
epithet	Titlacahuan
full	temi
patio	ithualli
book	amoxtli
unenlightened	tlayohualli
appear	neci
ilhuicac	ilhuicac tlahtohcayotl
cōztic	coztic teocuitlatl
iztāc	iztac teocuitlatl
painter	tlapallahcuiloh
partridge	tepezolin
Crested Guan	cuauhtotolin
great-grandfather	piptontli
grandchild	ixhuiuhtli
infinite	ahtlanqui
quetzal	quetzalli
jade	quetzalitztli
lovely cotinga	xiuhtototl
feather	tlauhquechol
Pátzcuaro	Patzcuaro
frog	cueyatl
larva	aneneztli
pendant	xiuhtotonacocheh
pendant	xiuhtotonacochtli
hummingbird	huitzitzilnahualeh
disguise	huitzitzilnahualli
Snowy Egret	aztatzoneh
Snowy Egret	aztatzontli
jaguar	ocelocopileh
jaguar	ocelocopilli
front line	yaotenhuah
Zapotec	tzapotecatl
turquoise	teoxihuitl
mat	ocelopetlatl
Iztaccíhuatl	Iztac tepetl
Popocatépetl	Popocatepetl
Pico de Orizaba	Poyauhtecatl
alderman	regidor
coral	tapachtli
corregimiento	corregidoryotl
hound	cuecuechmictia
shipwreck	acallapani
scratch	tataca
genitals	maxauhtinemi
rash	zahuatl
hallucinogenic	toloatzin
everlasting	cemihcac
prophet	propheta
rattlesnake	teuctlacozauhqui
turn	cuepa
Aztec	Tezcatlipoca
four	nappa
eye	tix
hunter	tlaminqui
squirrel	techalotl
sunray	tonalmitl
judge	ychteccatetlatzontequiliani
lesbian	tepatlachuiani
lizard	cuetzpalin
aquatic	acuetzpalin
ychtecqui	ichtecqui
mecaueuetl	mecahuehuetl
teococolizpalaniliztli	teococoliztli
puma	mizconetl
xaltoçan	xaltozan
uiçacotl	huizacotl
chachahuatl	chachauatl
wolf	mayaquen
ycpitl	icpitl
tlacatlacuilo	tlacatlacuiloliztli
tlacatlacuilo	tlacatlahcuiloh
aotli	aohtli
tlachioalli	tlachihualli
drowning	teilaquiliztli
tlalticpacquiça	tlalticpacquiza
tlācatiliztli	tlacatiliztli
buttock	tzintamalli
penis	tepolli
penis	tepoleh
sick	cocoxqui
lesbian	patlachuia
maya̱na	mayana
die	amiqui
mictiuetzi	mictihuetzi
nahuatlahto	nahuatlahtoh
chili pepper	mochil
locative	-tlan
busty	tlacazolchichihualeh
breast	chichihualmecapalli
çoquiyo	zoquiyoh
tzajtzi	tzatzi
shout	tzahtzi
scream	mauhcatzatzi
quiahui	quiyahui
tlaqualli	tlacualli
bag	xiquipiltontli
espada	tepoztzotzopaztli
xīlōtl	xilotl
song	cuicatl
intestine	cuitlaxcolli
cuīcuītzcatl	cuicuitzcatl
swallow	cuicuitzcaconetl
adobe	xamitl
sour	xococ
summon	notza
Lovely Cotinga	xiuhtototic
fall	huetzi
cualli	yectli
yecteneua	yectenehua
live	yoli
bug	yolcatl
onion	xonacatl
cheek	cantli
teocuitlacuzcatl	teocuitlacozcatl
quauhpatolli	cuauhpatolli
auillatolli	ahuillahtolli
triplet	tenamaztli
charge	tlequiquiztlaltema
charge	tlatlequiquiztlaltentli
sulfur	tlequiquiztlalxoquiyac
cozticteocuitlaquixtiloyan	cozticteocuitlaoztotl
bloom	cueponi
burn	xotla
burn	tlemiqui
tunalmi̱ki̱	tonalmiqui
miccaçaioli	miccazayolin
azcaputzalli	azcapotzalli
happy	yolpaqui
yoaltica	yohualtica
yoac	yohuac
nohpalli	nochtli
flesh	nacatl
quiauitl	quiyahuitl
chocolate	chocolanamacac
Tamooc	Tamomox
Tamooc	tamuoc
cape	capatli
teutetl	teotetl
church	teohcalli
chichiquiltopilli	maquauhtopilli
maquauhtopilli	chichiquiltopilli
chichiquiltopilli	chichiquilli
Cacatzac	cacatzac
ayc	aic
muztla	moztla
kill	mictia
ocelopetlatl	petlatl
bowl	caxitl
stink	potoni
pa̱qui	paqui
happiness	paquiliztli
pata̱ni	patlani
pacalli	pahcalli
thin	pitzahuac
castillan	castillan xochitl
mihlacatl	millahcatl
over there	ompa
bird	tototetl
parrot	cocho
puchtecayotl	pochtecayotl
puchtecati	pochtecati
quauhiztesuchitl	cuauhiztexochitl
bury	toca
representative	tepantlahtoani
mat	petlazolli
Mexican marigold	cempohualxochitl
govern	tlahtocati
red-eyed treefrog	calatl
frog	milcalatl
lance	tepuztopilhuia
pierce	ixili
stab	tlaxilli
lance	tlatepuztopilhuilli
sap	necuatl
temple	teopan
withdraw	tzinquiza
hiccups	tziucnoliztli
cry	choca
monkey	cuauhchimal
cold	tzompilihui
cold	tzompilli
tear	tzayani
sandal	cactli
fiesta	ilhuitl
dream	temiqui
dream	yztlacatemictli
cut	cotona
glanders	mazacocoliztli
glanders	mazacocolizzoh
duckling	canauhconetl
duck	patox
castillan	castillan canauhtli
on all fours	coyonenemi
sentence	tlatzontequilia
forearm	matzotzopaztli
