cat	posh
you	many
water	ha
dog	hat
milk	ma
house	va
earth	mat
friend	naw
child	humar
table	lames
day	nyaa
one	shent
bat	qmpanyq
bird	chyer
man	'iipaa
woman	sny'ak
boy	mhay
girl	mshhay
older sibling	nchen
old woman	akoy
uncle	nkwii
old man	kur'ak
deer	qwaq
owl	mmdii
hand	iishaaly
younger brother	shcha
nose	iihuu
offspring	s'aw
leg	iime
shirt	haav
hat	kpur
dress	avhay
money	shyaal
shoulder	miivii
neck	miipuk
back	shlymak
horse	qwaqt
cow	'iikway
knife	kwar'o
basket	kwnho
car	tiiwamtor
grandmother	nkyew
tree	h'a
doctor	kwsede
heart	iiwa
mother	n'ay
wood	'ii
cotton	hcho
book	onyor
city	vakpaly
maize	tdish
person	piipaa
five	srap
apple	kwes'ul'ul
three	hmuk
two	hvik
two-spirit	kwiraxame'
two-spirit	ilyaxai'
