dictionary	woordenboek
free	gratis
gratuitous	gratuit
unit	pond
pee	pies
transaction	deal
F	fa
slaughterhouse	abattoir
oneven	on
now	nu
spring	lente
autumn	herfst
brace	accolade
extraterrestrial	alien
the	de
of	van
I	ik
too	te
that	dat
that	die
inside	in
he	hij
Canis lupus	wolf
stiff	star
oh	o
décade	decade
male	man
unit	are
ox	os
fun	lol
sweeper	libero
capital	stock
underutilization	onderbenutting
must	most
NATO	NAVO
confusion	war
piglet	big
Acacia	acacia
tuner	radio
pronunciation	accent
not	lekker belangrijk
biology	bio
account	accountant
battery	accumulator
make	Belarus
space shuttle	shuttle
folder	map
index finger	index
Paramaribo	Suriname
Zaire	Zaïre
Vlaams	VTB-VAB
recreational	drug
drone	dar
Citrus paradisi	grapefruit
tree	citrus
China	Chinese
time	tempo
wreath	wrong
sausage	worst
respiratory	pip
or	of
tea	thee
solfège	sol
humour	humor
language	polyglot
darn	shit
finger	hand
unit	el
regimen	regime
equid	zebra
each	elk
Romania	Roemenië
mainly	voornamelijk
step	tree
domestic	boy
subordinate	adjunct
here	her
connective	copula
voice	stem
boy	amai
about-turn	rechtsomkeert
Apteryx	kiwi
regarding	qua
pretension	air
entertainment	amusement
degene	bepalingaankondigend voornaamwoord
Mechelen	Maneblusser
adjective	bijvoeglijk
accidental	accident
westwards	west
worship	aanbidden
strapping	uit de kluiten gewassen
lump	kluit
empty-handed	iemand met een kluitje in het riet sturen
nun	non
female	nicht
hot	warm
wing	vleugel
Indonesian	bahasa
African	Afrikaans
final	finale
rodent	rat
cream	room
primitive	hut
crocodilian	alligator
long	pen
Caracal caracal	caracal
cuttlefish	sepia
around	om
johnny	johnny's en marina's
booklet	brochure
all	al
nobility	adel
pale-throated sloth	ai
first-person	wij
god	god
child	kind
end	tamp
left-wing	SP
barracks	barak
rhythmic	beat
substratum	bed
far	ver
pedantic	pedant
attributive	uwe
sting	angel
perfectly	perfect
intelligent	slim
d	re
hajj	hadj
police helicopter	Zulu
C	do
Turkish	Turk
dumb	deem
hee-haw	ia
slide	dia
branch	tak
nothing	nada
possibly	eventueel
depressed	down
mother	mama
impromptu	ad libitum
physician	arts
there	daar
here	hier
are	bent
broad	breed
beverage	drank
fair	blond
subscription	account
hero	held
support	hang
heroine	heldin
song	lied
unoriginal	cliché
atomic	reactor
agent	actor
element	factor
T-shirt	shirt
brief	brief
boat	boot
leotard	body
gift	prove
beltway	ring
rank	rang
pansolo	parasol
film set	set
tactic	filibuster
molten	smelt
skewer	spit
hockey stick	stick
stench	stank
G-string	string
woke	woke
age	era
company	concern
bisexual	bi
library	bib
embittered	bitter
compartment	box
pound cake	cake
alkali	base
cover song	cover
base	basis
have	hebben
become	worden
future tense	zullen
company	vendel
mere	ven
Russian	Russisch
fashionable	kek
sphere	bol
spin	effect
travel	end
financial crisis	crisis
attributive	hare
Lynx	lynx
Marmota	marmot
Laser	laser
derelict	krot
beet	biet
Roma	Rom
red	rood
juice	sap
thou	du
cunning	list
lung	long
living room	living
ionise	plasma
house music	house
doctorate	doctor
run	blade
gouge	guts
book	volume
interval	none
object	klim
air	ether
pardon	sorry
magnate	baron
sandwich	bo
bonding	attachment
'k	k
'r	r
you	u
colony	kolonie
herd	kudde
pack	meute
use	nut
carburetor	carburator
honest	integer
pear	peer
cap	pet
shelf	plank
chin	kin
haulm	halm
tick	teek
see	zien
march	mark
raven	raaf
couch	sofa
him	hem
mask	masker
name	naam
carrot	peen
loins	lies
nauseating	wee
Eurasian magpie	ekster
aeroplane	vliegtuig
stage	passage
joint	las
NSDAP	nazi
post scriptum	PS
gelding	ruin
discrete	discreet
subtle	nuance
jewel	hanger
er	uh
clean	rein
proud	fier
money	blut
give	geven
attributive	onze
leeg	ledig
Europese	EEG
wall	wand
twosome	duo
million	miljoen
flower	bloem
honey	honing
Greek alphabet	epsilon
student	stud
outskirts	transferium
decametre	decameter
dinosaur	dino
rank	genus
second	seconde
primordial	chaos
respekt	respect
house	osso
coffee shop	café
stone	steen
donation	gift
centimetre	centimeter
deprave	corrupt
centre-right	CDA
prime minister	premier
core	nucleus
milligramme	milligram
millilitre	milliliter
a	ne
baby buggy	buggy
ouch	au
ti	si
sorry	ar
you	ge
vacuum	vacuüm
northwest	NW
beer	pint
fetus	foetus
decigramme	decigram
centigramme	centigram
parliament	parlement
piss	pis
trichloorethyleen	tri
mid-March	half
three	drie
five	vijf
six	zes
ten	tien
twelve	twaalf
thirteen	dertien
fourteen	veertien
fifteen	vijftien
sixteen	zestien
seventeen	zeventien
eighteen	achttien
nineteen	negentien
information	info
decagramme	decagram
sparrow	mus
gee	gut
zebra crossing	zebrapad
organ	orgaan
Insecta	insect
auxiliary	tool
nice	lief
Dyle	Dijle
river	Schelde
hello	hallo
burden	onus
bright	intelligent
obvious	manifest
racetrack	circuit
testicle	kloot
Islamic	halal
grass	gras
necessity	must
missionary	evangelist
lamassu	cherub
meal	lunch
egg	ei
collegial	college
singular	-um
character	protagonist
measure	mate
algebraic	transcendent
mean	mies
acetylene	acetyleen
cake	fruitcake
invariable	constant
element	vector
fin	sail
trade union	union
United States	New York
empty	legen
native	import
artificial	terp
paper	papier
snake	serpent
Dravidian	Telugu
what	wat
ampere	ampère
hit	goal
loaf	brood
remote	drone
fur	bont
flow	vloeien
prepend	in-
Basque	Bask
Netherlands	Nederlands
secondary school	gym
secondary school	gymnasium
check	cheque
North Brabant	Brabant
association	club
infinitive	infinitief
glasses	briller
oh	ach
overcoat	gabardine
giant panda	panda
North Holland	Holland
lip	lip
subunit	cent
Antilopini	gazelle
gnu	wildebeest
Phoenicopteridae	flamingo
Hyaenidae	hyena
Elapidae	cobra
Greek	Zeus
tragic	drama
clean	proper
book	code
movie	video
bird	dons
father	papa
liten	lite
bite	happen
Brittany	Bretagne
Svalbard	Spitsbergen
smooth	glad
novel	roman
German	Duits
Netherlands	Drenthe
Netherlands	Flevoland
Netherlands	Friesland
mosquito	mug
zenith	zenit
cozy	gezellig
periodic table	periodiek systeem
rock	wiegen
Netherlands	Gelderland
metre	more
broadcast	special
father	pater
weed	skunk
Punjab	Punjabi
Tamil Nadu	Tamil
Flemish	Vlaams
section	appendix
desk	bureau
text	corpus
quality	label
tree	mango
condiment	curry
harpsichord	cembalo
clearing	loo
environmentalist	ecologist
date	datum
law	ee
centre	focus
Fungi	fungus
June	juni
July	juli
postage	porto
gay	homo
streetcar	tram
verb	verbum
through	via
sacrifice	hecatombe
constrictor	anaconda
castrated	barg
shingles	zona
Mark	Marcus
great	top
top	topje
kilt	tartan
barrel	ton
black	neger
fuel	brandstof
immediate	direct
oasis	oase
moment of force	moment
er	er was eens
possible	kunnen
song	lofzang
compass	passer
yuppie	job
student	corps
yes	ja
car	auto
fugue	fuga
tree	basilisk
Carthage	Carthago
goose	gander
coal-car	tender
fashion	mode
water	aquarium
fucking	fucking
sleepy	does
navy	marine
paint	canvas
looker	beauty
ease	comfort
flight attendant	steward
joe	jij
hallo	hola
quarantine	quarantaine
nightmare	incubus
for	ter
black	moor
beetle	tor
receipt	bon
moss	mos
smell	reuk
fire	fik
wood	bos
giant	reus
bouquet	tuil
swap	ruil
leg	bout
error	fout
beard	sik
thick	dik
way	weg
reed	riet
hiccup	hik
nose	neus
ik	ik zie u graag
hey	zeg
hedge	heg
hij	hijs
duck	eend
up	op
sum	som
uncle	oom
also	ook
ear	oor
pure	puur
acid	zuur
cheese	kaas
decorative	vaas
gauze	gaas
boss	baas
haze	waas
duck	canard
racing car	bolide
burn	barnen
musical instrument	instrument
viper	adder
farewell	adieu
own	eigen
manager	administrator
Indonesian	nonna
aphtha	aft
wild card	joker
calendar	agenda
police officer	agent
index	register
allarm	alarm
air	allure
silly	domme gans
guenon	meerkat
ancient	aloud
comb	kam
paedo	pedo
Judeo-Christian	amen
ammonia	ammonia
appetiser	amuse
analysis	analyse
Congo	Kongo
genius	demon
Isle of Man	Manx
brand new	gloednieuw
brand new	spiksplinternieuw
conventional	orthodox
now	nou
doit	duit
banana	pisang
movie	film
plate	bord
corner	ante
separate	apart
household help	huishoudhulp
mounting	step
pharaoh	farao
robbery	roof
furnace	oven
fairy	fee
management	manager
snide	sneer
droplet	drop
shortly	even
boar	ever
mass	massa
main page	hoofdpagina
eraser	gum
Castilian	Castiliaans
above	over
hectogramme	hectogram
harrow	eggen
German	Duitser
Spanish	Spaans
Greek	Griek
door	deur
serving	bier
Japanese	Japans
fandak	vandaag
hit	slaan
Chinese	Chinees
Italian	Italiaans
iron	ijzer
pig	zwijn
nail	nagel
Croatian	Kroatisch
green	groen
orange	sinaasappel
cup	nap
plague	pest
cocoa	cacao
garb	dos
prison	nor
wear	sleet
nutmeg	panna
patronymic	Thomas
heat	thermo-
life	bio-
Melba toast	toast
ethanol	alcohol
litre	liter
oboe	hobo
broken	defect
trainer	coach
coach	trainer
how	hoe
doner kebab	kebab
gyro	gyros
whiskey	whisky
tend	hoeden
exploit	tour de force
malt beer	malt
two	di-
over	epi-
enamel	email
bromine	broom
folk	diet
fluoro-	fluor-
proverb	odo
patrician	toga
who	wie
Hindu	deva
play	gamer
foliage	lover
start	starter
addend	term
busybody	bemoeial
tern	stern
UFO	ufo
padlock	hangslot
gain	bonus
cigarette	filter
actress	actrice
alternative	alto
palindrome	palindroom
euphemism	eufemisme
unrest	agitator
go	gaan
waterfall	cataract
disc	gong
information	data
zucchini	courgette
pimp	madam
ballet	duet
Spanish	Spaanse
ik	ik hou van jou
sword	zwaard
room	kamer
albatross	albatros
congenital	albino
academic	student
clay	golem
angel	engel
sea	zee
self	ego
talisman	amulet
World Wide Web	web
suckling	zuigeling
vrank en vrij	frank
crook	boef
computer virus	virus
Armenian	Armeens
underground	metro
subscription	abo
abbot	abt
slice	moot
goalie	keeper
lesbian	tribade
portion	fragment
I'm sorry	pardon
vagrant	clochard
Malay	Maleis
premiere	première
important	wichtig
coup d'état	coup
year	anno
crude	cru
gravy	jus
umbrella	plu
ramshackle	kot
kin	clan
screen	monitor
convertible	cabriolet
Japanese	Jap
homosexual	schwul
trapezoid	trapezium
omelette	omelet
wild ass	onager
quota	quotum
knife	mes
necessarily	per se
warfare	belligerent
formula	formule
mother	ma
leader	ayatollah
part	part
Azalea	azalea
diaresis	trema
bird	avifauna
petrol	benzine
file	dossier
session	sauna
path	tra
so	zo
Andrew	Andreas
fridge	frigo
the	d'
catch	pal
bed	nest
tiller extension	joystick
ant	mier
blister	bladder
visa	visum
brother	brada
bus	autobus
Mercury	Mercurius
spelling pronunciation	des
tuft	dot
weird	rare
Curcuma longa	geelwortel
Chinchilla	chinchilla
crack	kraken
Estonian	Estisch
bulldog	buldog
chatter	babbelen
discotheque	disco
forty	veertig
fifty	vijftig
sixty	zestig
seventy	zeventig
lizard	skink
strife	twist
Hylobatidae	gibbon
modernist	modern
hold	grip
submarine	snorkel
tame	tam
slogan	yell
January	januari
February	februari
October	oktober
oligarchy	oligarchie
to	tot
environment	milieu
book	pocket
