free	gratis
abscissa	absis
fast	abstain
angkatan laut	AL
State of Israel	Israel
bootstrap	but
discrete	digital
surat izin mengemudi	SIM
Indonesian	Indonesia
Himalayas	India
hit the gas	gas
order	amar
organizer	map
time	tempo
dolar	dollar
individual	person
sole	sol
long	lama
marsupial	koala
mother	amai
shish kebab	yakitori
Indonesia	bahasa
human	orang
khaki	khaki
pious	alim
unknown	anu
wind	bad
good	baik
older brother	ajo
surat peringatan	SP
komisi yudisial	KY
taman nasional	TN
microblogging	twit
sun	matahari
Perserikatan Bangsa-Bangsa	PBB
handsome	gans
silver	perak
I	saya
property	milik
have	punya
hungry	lapar
that	itu
look	lihat
cat	kucing
they	ia
he	dia
pleasure	suka
I	aku
go	pergi
to	ke
aku pergi ke rumah teman	kemarin
house	rumah
there	sana
once	sekali
moon	bulan
pertama	satu
river	sungai
not	tak
want	ingin
even	rata
four	empat
we	kita
we	kami
same	sama
tone	nada
strategic board game	go
input	input
other	lain
also	pula
shopping centre	mal
currency	won
beer	bir
firecracker	long
large room	sal
where	mana
mouthpiece	organ
plain	mare
g	gram
fan	blower
percent	persen
cap	pet
Japanese animation	anime
martial arts	sensei
sensei	dojo
Chinese character	hanzi
major	mayor
sign	teken
mask	masker
weld	las
clothes hanger	hanger
blood	darah
longsome	langsam
kimono	obi
Greek alphabet	delta
hello	dag
modern	atom
I told you so	nah
you	lu
common	am
ice	es
land	huk
three	tri
duty	bia
land	hook
liver	lever
Muslim religious	halal
cloud	mega
genericized trademark	jip
rude	banal
bottled water	aqua
bahasa Bali	Bali
also	pun
briefcase	koper
area	radius
pilot boat	los
machine	manual
allah	Allah
coconut palm	kelapa
Japanese horseradish	wasabi
video	video
this	ini
bermain	main
Japan	Jepang
sumo	sumo
candidate	frater
abbot	abbas
from	dari
date	datum
fish	ikan
forget	lupa
zone	zona
coastal flooding	rob
failure	puso
head	hop
animal intestine	iso
détonator	detonator
automated teller machine	ATM
ledger	leger
hour	jam
hi	hai
coat	jas
santo-santo	santo
present	ada
teach	ajar
excuse	alibi
gospel	Injil
with	dengan
woman	wanita
buy	beli
father	bapa
chocolate	coklat
meaning	arti
top	baju
west	barat
moon	rembulan
rope	tali
laki	laki-laki
male	jantan
female	betina
Holland	Belanda
study	belajar
horse	kuda
animal	hewan
time	waktu
doit	duit
Germany	Jerman
banana	pisang
remember	ingat
island	pulau
wood	kayu
movie	film
Russia	Rusia
short	pendek
perfective aspect	sudah
foreign	asing
not	tidak
earth	bumi
reason	sebab
lose	hilang
black	hitam
forest	hutan
like	cinta
table	meja
very	amat
magical	ajaib
housemaid	babu
baggage	bagasi
dissimilarity	beda
imperfective aspect	belum
normal	biasa
animal	binatang
bullock	cambuk
crazy	gila
slave	hamba
high	tinggi
again	lagi
face	muka
smooth	mulus
long	panjang
which	yang
gelombang mikro	oven
marijuana	gele
crazy	gokil
father	bokap
lust	nepsong
helper	pembokat
meng-	bantu
pull	cabut
hear	dengar
little	kecil
you	engkau
leave	berangkat
womb	uterus
look at	pandang
father	bapak
trousers	celana
handsome	ganteng
female	perempuan
ten thousand	ceban
dead	mokat
sand	pasir
child	anak
remain	tinggal
he	beliau
in	di
price	harga
kill	bunuh
you	kamu
killer	pembunuh
killing	pembunuhan
worm	cacing
agenda	acara
amok	amuk
upstairs	atas
careful	awas
come on	ayo
read	baca
for	bagi
handsome	bagus
iron	besi
dealing	bicara
handcuffs	borgol
no	bukan
ugly	buruk
rotten	busuk
wash	cuci
I	daku
base	dasar
flat	datar
fluent	fasih
median strip	median
roe	tobiko
side	ambi-
later	nanti
torch	obor
who	siapa
litre	liter
picture	pap
air	aero-
zoom	zum
map	peta
thigh	paha
go out	keluar
bintangor	gamer
wave	tsunami
taste	umami
you	lo
Italy	Italia
philtrum	cupido
less	kurang
roof	atap
class	keluarga
why	kenapa
why	mengapa
salty	asin
strange	aneh
neglectful	alpa
euphemism	eufemisme
China	Cina
tempeh	tempe
-ity	-itas
wound	luka
some	para
hall	balai
religion	din
computer virus	virus
age	abad
Muslim	Abdul
human male	aba
son	ako
you	ko
mam	bu
myna	beo
computer	komputer
order	tata
I	aye
love	kama
stomach	mag
layer	lapis
camera	kamera
jequirity	saga
Arabic	Arab
request	pinta
satay	sate
five	lima
very	sangat
grandchild	cucu
god	dewa
feeling	pedis
greedy	loba
sisa anggaran pembangunan	siap
build	bina
son	bin
person trained	ninja
pickle	acar
letter	aksara
wind	pawana
monkey	monyet
Capsicum	cabai
-s	-an
lion	singa
tea	teh
sulfur	belerang
duty	bea
harbour	bandar
typhoon	kamikaze
nutmeg	pala
friendly	manja
guru-guru	guru
unit	yen
spell	mantra
parish priest	pastor
male	laki
region	region
terima kasih	terima kasih
tree	bonsai
Jew	Yahudi
anime	hentai
priest	imam
alphabet	alfabet
gold	emas
Boa	boa
slice	iris
barrel	lop
discount	rabat
suggestion	saran
unlucky	sial
site	situs
soup	sop
canine tooth	taring
house	bait
cheek	pipi
pig	babi
entertainment	karaoke
hemp	rame
gross domestic product	produk domestik bruto
bureau	biro
quickly	cito
you	ente
lava	lahar
general partnership	firma
hara-kiri	harakiri
dialog	dialog
so	maka
rickshaw	lancia
helmet	helm
afternoon	sore
field	medan
important person	motor
Iraq	Irak
yam	ubi
stiff	kaku
superior	premium
satellite dish	parabola
circumstance	hal
hello	halo
Soviet Union	Uni Soviet
medical file	status
start	mulai
virtual	folder
ghee	gi
understanding	paham
where	ke mana
yang mana	yang mana
car	wagon
vocational degree	diploma
action	karma
silk	sutra
pre-	pra-
ribbon	pita
look	bela
pregnant	bunting
damage	molest
brake	rem
curry puff	pastel
boiled	rebus
pillow	bantal
trade union	kongsi
pen	pena
bucket	ember
goal	gol
round	ronda
cap	dop
so that	agar
regional section	rayon
mould	acu
rhythmic	tremor
electricity	elektro
entrance	entre
martial art	karate
shingles	herpes zoster
tablet computer	tablet
sort	sortir
lesbian	LGBT
deaf	tuli
