net	ami
meat	beat
volleyball	bari
younger sibling	agi
foreleg	caw
stone tile	alibi
ash	abu
bow	bu
fart sound	bira
if	ana
seed	cape
father	ama
cooking pot	agama
why	aasi
adulteress	cepa
father	tama
more	aru
can	alu
semen	bulu
cooked rice	aga
alcoholic beverage	bava
black nightshade	amici
earth	dae
fishnet	arai
originally	alaka
antenna	antina
pork fat	arici
grape	budu
amen	amin
raincoat	cabale
duck	bibi
wound	dula
possibly	alasi
madake	cepe
male genital	bucu
salt	timu
button	ciki
cheek	cimi
fig	dena
beer	bire
eel	tula
enemy	badha
ouch	anana
smell	bangere
grandchild	agane
preaching	dindu
woman	ʔavai
foxtail millet cake	abai
fish	kange
fire	apwi
bottle	bingi
hair	isiw
cartilage	berebere
yellow	buraw
poison	duku
vegetable	damay
feces	caki
dove	punai
telephone	dingwa
temple	biw
heart	avava
cloud	ememe
leader	tamatama
oil	abera
weave	tinono
organization	dantay
owner	tawki
small intestine	buuru
bento	bintu
table	cukwi
dove	tavagu
woman	ababay
bat	ababiraw
ant	ababungu
spirit	abake
dirt wash	abulruku
tadpole	acacere
gift	acebe
water bill	aciladhane
paddy field	aciacilay
bird	adhadhame
iron	adreme
inside	adringi
game	agase
cupboard	airaze
mercurochrome	akacingki
wedding invitation	akagami
monster	akema
shadow	alalingu
wasp	alalipiri
insect	alalubai
shield	alathare
bark	aleale
tip	alikay
cowlick	alipugu
female friend	alisu
swallow	alralrakici
fly	alralregele
flesh fly	alralrangaw
wasp	alralucu
hand	alrima
sleeve	alrimane
stone wall	alrisapesape
egg	alrisese
sour	maalriw
heel	alrudrudrane
nasal mucus	alulu
candy	alwalu
hawk moth	amamirungu
rainboot	amigece
Amis	Amizuku
who	aneeane
tree	angatu
lingzhi	tharikangatungatu
pain	angeange
pipe	angucu
poisonous spider	apapase
locust	apapawku
crab	apase
rice crust	apilrici
solider ant	apudru
light	twapwi
winged ant	araradray
aluminium	aremi
alcohol	arukuru
gravel	arululane
larva	arupipi
little while	asane
ladder	asigu
pestle	asulru
cockroach	atatabange
liver	athai
skylight	athaw
cogon grass	awbu
head	awlru
iron	ayrungu
monosodium glutamate	azinumutu
ceiling	baaliali
monkey	babila
pig	babwi
nasal mucus	baeke
syphilis	baiduku
lake	baiyu
dagger	bakale
firecracker	bakeci
bomb	bakedange
tree bark	bakuru
bamboo	balebale
Elaphe	balawlatwane
wall	balingibingi
rainbow	balrilawlaw
horsepower	balriki
house	balriw
one	balrulane
Boletus	baluthiluthi
stuffy nose	bangete
priest	barakalay
abdomen	barange
giant roundworm	barathare
shotgun shell	baratama
sand	barase
lily flower	bariangalai
hole	barungulu
sneeze	basenge
location	basiw
bump	batekale
cheekbone	bathingi
battery	batilri
egg	batuku
hulled grain	becenge
pig	beeke
banana	belebele
culture	benka
tribe	berake
small	bereke
sibling	betakane
stomach	bicuka
handbag	bidhulu
wave	bikabiki
behind	bilrili
squirrel	bubutu
wild animal	bulabulai
flute	bulalri
seedful	tucaecape
top	belenge
swamp	beneke
springwater	berai
fine hair	bisaw
sound	bitabiti
hospital	biwingi
hindleg	bubwane
vertebra	bukulu
pastor	bukusi
boxing	bukusingi
pork	butulu
paddy field	caane
patient	caeme
virus	caemane
Bombax ceiba	calrathay
ear	calringa
rope	calrisi
single person	calruru
person responsible	kiacapili
giraffe	carakicaki
pellet	cariathe
roof	cavalri
year	cayli
every year	caycayli
arrow bamboo	cekese
bronchus	cekeraw
earwax	celege
drought	cengelraw
idiot	ciangelrane
strength	cikara
pickled vegetable	cikimunu
xiangqi	cikiwku
gramophone	cikungki
poinsettia	cilabelabe
insect	cilameke
toilet paper	cilrigami
throat	cilulrane
ringing sound	ciringi
sugar cane	cubusu
sugar cane plantation	cacubusan
woodpecker	cucugu
turtle	cukucuku
hunchback	cukulu
bone	culrale
Chinese bulbul	culraculru
bear	cumay
popcorn	curucuru
injection	cwiki
house	daane
sigh	daange
index finger	dadiputhane
banyan	daralape
radish	daykungu
carpenter	daykusange
explosive	daynamay
baby	dayni
buttocks	dekele
small bottle	didilrungu
automobile	didiwsa
rust	dilange
earthen jug	dilrungu
preacher	dindusi
snail	dingidingi
telephone	dinva
spleen	dipilay
camphor tree	drakese
dance	dralrai
sword	dramu
betel	drangaw
foot	drapale
oak tree	drathiri
warehouse	drawsulu
thunder	dreredrere
trap	dringai
electricity	dringiki
Japan	Dripungu
bog	dulraki
cooked food	dwu
pig feed	dwuthu
sky	subelebelenge
juice	esebe
light rain	ethethenge
blood	eray
sand	enay
maggot	ekai
breast	thuthu
water	acilay
new	bavane
