female	lama
chocolate	chocolatl
host	teotl
water	atl
agave	metl
otter	achichi
raccoon	mapachin
pit viper	torito
horse	kawayo
reed	akatl
deer	masatl
star	sitlali
firewood	cuahcui
ripen	huicsi
sickness	cocolistli
Nasua narica	pesohtli
guava	xalxocotl
bee	sayoli
Procyon lotor	mapach
Odonata	icahuayo in ahmo cuali tlacatl
ahmo cuali tlacatl	ahmo cuali tlacatl
Ortalis vetula	necuatahtli
Spinus psaltria	miahuatototl
muddy	soquiyo
fox	tanchau
cleft lip	tencua
lowland paca	tozanreal
shrew	tozanquimichi
avocado	awakatl
crow	kwerbo
briefs	kaltzomitl
chayote	chayojtli
monkey	osomantli
