approbatur	A
F	f
non-	a-
tuolla	on
when	kun
negative verb	en
you	te
dog	koira
bone	luu
sweeper	libero
country music	country
radio-	radio
People's Republic of Bangladesh	Bangladesh
Indonesia	Indonesia
march	mars
mi	mi
Australiassa	Australia
Lucia	Saint Lucia
paraleipsis	paralipsis
äkillinen	SARS
social media	some
dam	toe
Thu	to
B-sharp	his
A-flat	as
wire trace	peruke
mä	moon
korea	Korea
ecstasy	mundo
se	son
kirjain	bee
car	diesel
ouch	ai
driving	ajo
alkuperäinen	AP
public relations	PR
Soviet Union	NL
we	me
trip	matka
magic	magia
dam	pato
sprout	itu
slide	dia
brush	suka
word	sana
potassium	kali
railroad track	rata
mouth	kita
same	sama
alemmaksi	alas
Columbidae	dodo
ad hoc	ad hoc
bam	pam
beth	bet
shortage	pula
burbot	made
we	met
snapsuit	body
cover version	cover
base	basis
tax	vero
orthoepy	ortoepia
bikini	bikinit
house music	house
viides	river
E	e
B flat	b
C	c
D	d
G	g
penny	p
awakeness	valve
Ewe	ewe
mildew	home
hyperbole	hyperbola
bill of fare	menu
guy	jehu
VAT	ALV
Hungarian	unkari
marry	naida
Latino	latino
cash on delivery	postiennakko
Australian Capital Territory	Australian
oh	ah
uh-huh	aha
taking	otto
compact disc	CD
twosome	duo
fantasy	gamma
ha	hah
house	talo
paddle	mela
Suomen mestaruus	SM
prototype	proto
caesium	cesium
they	ne
ow	au
Dromaius novaehollandiae	emu
it	se
sea	meri
mk	markka
Hawaii	Havaiji
lauantai	la
E-flat	es
democracy	demokratia
tohtori	tri
information	info
state	valtio
field cook	spade
babka	baba
online	online
bed	lava
permissible	halal
no	ei
gesture	ele
sweatshirt	college
they	net
bandage	side
quiz	visa
bluing	sine
he	hän
man	mies
blow	tuulla
wildebeest	gnu
Madeira	madeira
United States	New York
Feta cheese	feta
leivos	madeleine
tapas	tapas
Hanover	Hannover
tauon	tau
admirer	fan
allative	asti
way	tie
neljäs	turn
Motu	motu
spokeshave	kava
Vasa	Vaasa
greater flamingo	flamingo
feed	ape
videocassette recorder	video
D-sharp	dis
Chișinău	Chisinau
you	sie
cat	kissa
serene	sees
harmony	harmonia
curry powder	curry
harpsichord	cembalo
Formula One	formula
pondweed	vita
loser	torso
book	opus
gay	homo
scooter	vespa
symmetry	symmetria
permission	lupa
exactly	just
Finnish	suomalainen
only	vain
four	nee
and	ja
car	auto
self-	auto-
Saint Petersburg	Leningrad
pleasure	ratto
spur	hop
brain	aivot
dining	tarjoiluhuone
painting	taulu
chair	tuoli
larva	toukka
bucket	ämpäri
thick	paksu
bicycle	polkupyörä
trap	pyydystää
request	pyytää
cabbage	kaali
cabinet	kaappi
body	keho
chain	ketju
frame	kehys
boil	kiehua
cognac	konjakki
machine translation	konekääntäminen
copywriter	copy
trapshooting	trap
who	ken
hic	hik
history	historia
swot	pinko
soul music	soul
shoo	hus
studio	manu
four	nel
creature	olio
dog agility	agility
Finnicize	buffet
matter	materia
Congo	Kongo
meow	mau
suet	tali
lag	lagi
supposedly	muka
morning	aamu
day	päivä
night	yö
mother	äiti
oil	öljy
swim	uida
walk	kävellä
run	juosta
home	koti
Sun	aurinko
star	tähti
child	lapsi
school	koulu
ship	laiva
train	juna
apple	omena
orange	appelsiini
do	kyllä
banana	banaani
boy	poika
girl	tyttö
daughter	tytär
baby	vauva
young	nuori
old	vanha
wide	leveä
long	pitkä
father	isä
pencil	kynä
draw	piirtää
jump	hypätä
ski	hiihtää
bus	bussi
pear	päärynä
white	valkoinen
white	valkea
red	punainen
blue	sininen
green	vihreä
yellow	keltainen
violet	violetti
cyan	syaani
grey	harmaa
one	yksi
two	kaksi
three	kolme
four	neljä
five	viisi
seven	seitsemän
eight	kahdeksan
nine	yhdeksän
ten	kymmenen
hundred	sata
earth	maa
automobile	automobiili
boat	vene
voltage	jännite
flow	virta
power	teho
Bible	Raamattu
bus	linja-auto
move	liikkua
conscript	move
sleep	nukkua
eat	syödä
drink	juoda
dune	dyyni
tavausaakkoset	farao
graphic	graafinen
winter	talvi
spring	kevät
summer	kesä
autumn	syksy
bed	sänky
door	ovi
window	ikkuna
ceiling	katto
lake	järvi
cow	lehmä
horse	hevonen
red fox	kettu
write	kirjoittaa
read	lukea
throw	heittää
get	saada
second	sekunti
metre	metri
ampere	ampeeri
watt	watti
kilogram	kilogramma
ohm	ohmi
hertz	hertsi
rectangle	suorakulmio
circle	ympyrä
point	piste
mouse	hiiri
oven	uuni
ball	pallo
Aland	Ahvenanmaa
say	sanoa
use	käyttää
make	valmistaa
hold	pitää
look	katsoa
see	nähdä
digit	numero
water	vesi
find	löytää
first	ensimmäinen
second	toinen
come	tulla
drive	ajaa
give	antaa
think	ajatella
search	etsiä
sit	istua
leave	jättää
tell	kertoa
invite	kutsua
ask	kysyä
lower	laskea
sell	myydä
Bantu	bantu
show	näyttää
buy	ostaa
take	ottaa
follow	seurata
know	tietää
answer	vastata
understand	ymmärtää
tomato	tomaatti
cheese	juusto
water closet	WC
love	rakkaus
brown	ruskea
iron	rauta
copper	kupari
clock	kello
shoe	kenkä
ear	korva
hand	käsi
truck	kuorma-auto
flower	kukka
bullet	kuula
